Noble_or_not	Multi_or_not	Co_or_not	Fe_or_not	Ni_or_not	SSA	pH	Tafel	Current_density	Overpotential
0	1	1	0	1	312.32	13	191.5	20	495
0	1	1	0	1	312.32	13	191.5	10	423
0	1	1	0	1	284.86	14	63.6	50	378
0	1	1	0	1	284.86	14	63.6	20	336
0	1	1	0	1	284.86	14	63.6	10	315
1	1	0	0	0	82	1	44.1	20	310
1	1	0	0	0	82	1	44.1	10	288
0	1	1	0	0	23.665	14	36	100	332
0	1	1	0	0	23.665	14	36	50	304
0	1	1	0	0	23.665	14	36	20	276
0	1	1	0	0	23.665	14	36	10	258
0	1	1	0	0	109.24	14	76.9	50	428
0	1	1	0	0	109.24	14	76.9	20	388
0	1	1	0	0	109.24	14	76.9	10	363
0	1	1	1	0	163.3	14	57.1	50	384
0	1	1	1	0	163.3	14	57.1	20	359
0	1	1	1	0	163.3	14	57.1	10	342
0	0	1	0	0	96.057	13	68	20	300
0	0	1	0	0	96.057	13	68	10	280
0	1	1	1	0	34	14	70	100	347
0	1	1	1	0	34	14	70	50	301
0	1	1	1	0	34	14	70	20	260
0	1	1	0	0	41.32	14	64.1	100	305
0	1	1	0	0	41.32	14	64.1	50	282
0	1	1	0	0	41.32	14	64.1	20	248
0	1	0	0	1	39.6	14	119.8	100	430
0	1	0	0	1	39.6	14	119.8	50	371
0	1	0	0	1	39.6	14	119.8	20	331
0	1	0	0	1	39.6	14	119.8	10	280
0	1	0	1	1	19.41	14	28.1	100	282
0	1	0	1	1	19.41	14	28.1	10	235
0	0	0	0	0	175	14	50.3	100	324
0	0	0	0	0	175	14	50.3	50	300
0	0	0	0	0	175	14	50.3	20	216
0	1	1	0	1	132	14	40	100	572
0	1	1	0	1	132	14	40	50	470
0	1	1	0	1	132	14	40	20	396
0	1	1	0	1	132	14	40	10	355
0	1	1	1	0	74	14	45.9	100	410
0	1	1	1	0	74	14	45.9	50	353
0	1	1	1	0	74	14	45.9	20	310
0	1	1	1	0	74	14	45.9	10	292
0	1	0	1	1	68.6	14	39.5	100	211
0	1	1	1	1	170.6	14	32.3	100	285
0	1	1	1	1	170.6	14	32.3	50	269
0	1	1	1	1	170.6	14	32.3	10	243
0	1	0	0	1	66.6	14	43	10	227
0	1	1	0	1	103.7	14	77	50	353
0	1	1	0	1	103.7	14	77	20	302
0	1	1	0	1	103.7	14	77	10	283
0	0	1	0	0	68.4	14	67.5	50	393
0	0	1	0	0	68.4	14	67.5	20	344
0	0	1	0	0	68.4	14	67.5	10	317
0	1	1	0	1	19.88	14	49.6	100	360
0	1	1	0	1	19.88	14	49.6	50	320
0	1	1	0	1	19.88	14	49.6	20	303
0	1	1	0	1	19.88	14	49.6	10	290
1	1	0	0	0	6.39	0.3	55	100	267
1	1	0	0	0	6.39	0.3	55	50	245
1	1	0	0	0	6.39	0.3	55	20	219
1	1	0	0	0	6.39	0.3	55	10	201
0	1	1	0	0	298	14	143	50	441
0	1	1	0	0	298	14	143	20	372
0	1	1	0	0	298	14	143	10	320
0	1	1	0	1	132.8	7.4	34	100	482
0	1	0	1	1	125	14	41	50	265
0	1	0	1	1	125	14	41	20	250
0	1	0	1	1	125	14	41	10	240
0	1	0	0	0	31.69	14	183	100	591
0	1	0	0	0	31.69	14	183	50	498
0	1	0	0	0	31.69	14	183	20	428
0	1	0	0	0	31.69	14	183	10	369
0	1	0	0	1	74.82	14	46	100	387
0	1	0	0	1	74.82	14	46	50	343
0	1	0	0	1	74.82	14	46	10	297
0	1	1	1	1	14.8	14	56	100	300
0	1	1	1	1	14.8	14	56	50	285
0	1	1	1	1	14.8	14	56	20	260
0	1	1	1	1	14.8	14	56	10	245
0	1	1	1	0	774.56	14	40.5	100	382
0	1	1	1	0	774.56	14	40.5	50	312
0	1	1	1	0	774.56	14	40.5	20	260
0	1	1	1	0	774.56	14	40.5	10	212
0	1	1	1	1	108.13	14	45	100	249
0	1	1	1	1	108.13	14	45	50	230
0	1	1	1	1	108.13	14	45	20	215
0	1	1	1	1	108.13	14	45	10	190
0	1	1	1	0	15.5	14	95	100	497
0	1	1	1	0	15.5	14	95	50	384
0	1	1	1	0	15.5	14	95	20	308
0	1	1	1	0	15.5	14	95	10	272
0	1	1	1	0	23.12	14	63	50	438
0	1	1	1	0	23.12	14	63	20	379
0	1	1	1	0	23.12	14	63	10	353
0	1	0	1	1	114.47	14	30	10	270
0	0	1	0	0	55.08	14	40.3	20	359
0	0	1	0	0	55.08	14	40.3	10	343
0	1	1	1	0	1.2	14	83	10	420
0	1	0	1	1	38.4	13	72	10	584
0	1	1	0	1	20	13	74	50	530
0	1	1	0	1	20	13	74	20	327
0	1	1	0	1	20	13	74	10	280
0	1	1	1	0	575.88	14	63	100	340
0	1	1	1	0	575.88	14	63	10	250
0	1	1	0	0	40.73	14	57.03	100	469
0	1	1	0	0	40.73	14	57.03	50	373
0	1	1	0	0	40.73	14	57.03	20	313
0	1	1	0	0	40.73	14	57.03	10	283
0	1	1	0	0	39.7	14	43	100	608
0	1	1	0	0	39.7	14	43	50	484
0	1	1	0	0	39.7	14	43	20	364
0	1	1	0	0	39.7	14	43	10	290
0	1	1	1	0	56.9	14	57.75	100	583
0	1	1	1	0	56.9	14	57.75	50	474
0	1	1	1	0	56.9	14	57.75	20	418
0	1	1	1	0	56.9	14	57.75	10	390
0	1	1	0	0	34.4	14	72	100	342
0	1	1	0	0	34.4	14	72	50	322
0	1	1	0	0	34.4	14	72	20	292
0	1	1	0	0	34.4	14	72	10	217
0	1	1	0	1	8.96	14	54	50	329
0	1	1	0	1	8.96	14	54	20	313
0	1	1	0	1	8.96	14	54	10	275
0	1	1	1	0	11.1	14	63	100	462
0	1	1	1	0	11.1	14	63	50	420
0	1	1	1	0	11.1	14	63	20	377
0	1	1	1	0	11.1	14	63	10	343
0	1	1	0	0	102	14	62	50	390
0	1	1	0	0	102	14	62	20	319
0	1	1	0	0	102	14	62	10	280
0	1	1	1	0	24.2	14	87	50	340
0	1	1	1	0	24.2	14	87	20	295
0	1	1	1	0	24.2	14	87	10	263
0	1	1	1	1	20.4	14	72.64	100	415
0	1	1	1	1	20.4	14	72.64	50	387
0	1	1	1	1	20.4	14	72.64	20	357
0	1	1	1	1	20.4	14	72.64	10	330
0	1	1	0	0	111.184	14	92	100	497
0	1	1	0	0	111.184	14	92	50	409
0	1	1	0	0	111.184	14	92	20	338
0	1	1	0	0	111.184	14	92	10	299
0	1	0	1	1	57.94	14	45	100	332
0	1	0	1	1	57.94	14	45	50	304
0	1	0	1	1	57.94	14	45	10	264
0	1	1	1	0	27.965	13	76.71	20	413
0	1	1	1	0	27.965	13	76.71	10	385
0	1	1	0	0	166.2	14	60	50	350
0	1	1	0	0	166.2	14	60	20	319
0	1	1	0	0	166.2	14	60	10	290
0	1	1	1	0	35	0.3	68.6	50	434
0	1	1	1	0	35	0.3	68.6	20	357
0	1	1	1	0	35	0.3	68.6	10	323
0	1	1	1	1	104	14	64.05	100	287
0	1	1	1	1	104	14	64.05	50	265
0	1	1	1	1	45.6	14	53	100	306
0	1	1	1	1	45.6	14	53	50	275
0	1	1	1	1	45.6	14	53	20	251
0	1	1	1	1	45.6	14	53	10	235
0	1	0	1	0	74.4	14	50	100	400
0	1	0	1	0	74.4	14	50	50	361
0	1	0	1	0	74.4	14	50	20	330
0	1	0	1	0	74.4	14	50	10	318
1	1	0	0	1	73.4	0.3	60	20	363
1	1	0	0	1	73.4	0.3	60	10	337
0	1	1	1	0	124	14	78.2	100	455
0	1	1	1	0	124	14	78.2	50	370
0	1	1	1	0	124	14	78.2	20	318
0	1	1	1	0	124	14	78.2	10	280
0	1	1	0	0	5	13.7	151.98	20	566
0	1	1	0	0	5	13.7	151.98	10	510
0	1	1	1	0	123.2	14	92	20	421
0	1	1	1	0	123.2	14	92	10	377
1	1	0	0	0	102	0.3	65	50	310
1	1	0	0	0	102	0.3	65	20	270
1	1	0	0	0	102	0.3	65	10	240
