DOI	Sample_name	Noble_or_not	Multi_or_not	Co_or_not	Fe_or_not	Ni_or_not	SSA (m2/g)	Electrolyte	pH	Tafel slope (mV/dec)	Current_density (mA/cm2)	Overpotential (mV)
10.1016/j.electacta.2021.139793	NiCo2S4/Fe2O3@CC	0	1	1	1	1	108.13	1.0 M KOH	14	45	20	215 
10.1016/j.electacta.2021.139793	NiCo2S4/Fe2O3@CC	0	1	1	1	1	108.13	1.0 M KOH	14	45	10	190 
10.1016/j.electacta.2020.135638	LSCF@Ni3(HITP)2-2	0	1	1	1	0	15.5	1.0 M KOH	14	95	100	497 
10.1016/j.electacta.2020.135638	LSCF@Ni3(HITP)2-2	0	1	1	1	0	15.5	1.0 M KOH	14	95	50	384 
10.1016/j.electacta.2020.135638	LSCF@Ni3(HITP)2-2	0	1	1	1	0	15.5	1.0 M KOH	14	95	20	308 
10.1016/j.electacta.2020.135638	LSCF@Ni3(HITP)2-2	0	1	1	1	0	15.5	1.0 M KOH	14	95	10	272 
10.1016/j.electacta.2019.135033	LSCF-700	0	1	1	1	0	23.12	1.0 M KOH	14	63	50	438 
10.1016/j.electacta.2019.135033	LSCF-700	0	1	1	1	0	23.12	1.0 M KOH	14	63	20	379 
10.1016/j.electacta.2019.135033	LSCF-700	0	1	1	1	0	23.12	1.0 M KOH	14	63	10	353 
10.1016/j.electacta.2019.134577	NiO–Cr2O3	0	1	0	1	1	114.47	1.0 M KOH	14	30	10	270 
10.1016/j.electacta.2019.01.005	Co-O-B@Co3O4	0	0	1	0	0	55.08	1.0 M KOH	14	40.3	20	359 
10.1016/j.electacta.2019.01.005	Co-O-B@Co3O4	0	0	1	0	0	55.08	1.0 M KOH	14	40.3	10	343 
10.1016/j.electacta.2018.06.073	BC0.8ZY	0	1	1	1	0	1.2	1.0 M KOH	14	83	10	420 
10.1016/j.electacta.2016.05.008	Fe0.5Ni0.5Ox	0	1	0	1	1	38.4	0.1 M KOH	13	72	10	584 
10.1016/j.elecom.2018.07.016	NiCoOx-400	0	1	1	0	1	20	0.1M KOH	13	74	50	530 
10.1016/j.elecom.2018.07.016	NiCoOx-400	0	1	1	0	1	20	0.1M KOH	13	74	20	327 
10.1016/j.elecom.2018.07.016	NiCoOx-400	0	1	1	0	1	20	0.1M KOH	13	74	10	280 
10.1016/j.chemosphere.2023.140012	rGO-ED-CeO2-WCuCo-30	0	1	1	0	0	40.73	1.0 M KOH	14	57.03	100	469 
10.1016/j.chemosphere.2023.140012	rGO-ED-CeO2-WCuCo-30	0	1	1	0	0	40.73	1.0 M KOH	14	57.03	50	373 
10.1016/j.chemosphere.2023.140012	rGO-ED-CeO2-WCuCo-30	0	1	1	0	0	40.73	1.0 M KOH	14	57.03	20	313 
10.1016/j.chemosphere.2023.140012	rGO-ED-CeO2-WCuCo-30	0	1	1	0	0	40.73	1.0 M KOH	14	57.03	10	283 
10.1016/j.ceramint.2023.06.056	CuO-CMO-16%@NF	0	1	1	0	0	39.7	1.0 M KOH	14	43	100	608 
10.1016/j.ceramint.2023.06.056	CuO-CMO-16%@NF	0	1	1	0	0	39.7	1.0 M KOH	14	43	50	484 
10.1016/j.ceramint.2023.06.056	CuO-CMO-16%@NF	0	1	1	0	0	39.7	1.0 M KOH	14	43	20	364 
10.1016/j.ceramint.2023.06.056	CuO-CMO-16%@NF	0	1	1	0	0	39.7	1.0 M KOH	14	43	10	290 
10.1016/j.ceramint.2021.11.088	CFO@CSs	0	1	1	1	0	56.9	1.0 M KOH	14	57.75	100	583 
10.1016/j.ceramint.2021.11.088	CFO@CSs	0	1	1	1	0	56.9	1.0 M KOH	14	57.75	50	474 
10.1016/j.ceramint.2021.11.088	CFO@CSs	0	1	1	1	0	56.9	1.0 M KOH	14	57.75	20	418 
10.1016/j.ceramint.2021.11.088	CFO@CSs	0	1	1	1	0	56.9	1.0 M KOH	14	57.75	10	390 
10.1016/j.cej.2022.139250 	Co3O4/CoMoO4-0.1-FO	0	1	1	0	0	34.4	1.0 M KOH	14	72	100	342 
10.1016/j.cej.2022.139250 	Co3O4/CoMoO4-0.1-FO	0	1	1	0	0	34.4	1.0 M KOH	14	72	50	322 
10.1016/j.cej.2022.139250 	Co3O4/CoMoO4-0.1-FO	0	1	1	0	0	34.4	1.0 M KOH	14	72	20	292 
10.1016/j.cej.2022.139250 	Co3O4/CoMoO4-0.1-FO	0	1	1	0	0	34.4	1.0 M KOH	14	72	10	217 
10.1016/j.cej.2021.134261	NCO-2	0	1	1	0	1	8.96	1.0 M KOH	14	54	50	329 
10.1016/j.cej.2021.134261	NCO-2	0	1	1	0	1	8.96	1.0 M KOH	14	54	20	313 
10.1016/j.cej.2021.134261	NCO-2	0	1	1	0	1	8.96	1.0 M KOH	14	54	10	275 
10.1016/j.cej.2021.129324	LSCFM	0	1	1	1	0	11.1	1.0 M KOH	14	63	100	462 
10.1016/j.cej.2021.129324	LSCFM	0	1	1	1	0	11.1	1.0 M KOH	14	63	50	420 
10.1016/j.cej.2021.129324	LSCFM	0	1	1	1	0	11.1	1.0 M KOH	14	63	20	377 
10.1016/j.cej.2021.129324	LSCFM	0	1	1	1	0	11.1	1.0 M KOH	14	63	10	343 
10.1016/j.cej.2020.127352	Mo-Co3O4/CNTs	0	1	1	0	0	102	1.0 M KOH	14	62	50	390 
10.1016/j.cej.2020.127352	Mo-Co3O4/CNTs	0	1	1	0	0	102	1.0 M KOH	14	62	20	319 
10.1016/j.cej.2020.127352	Mo-Co3O4/CNTs	0	1	1	0	0	102	1.0 M KOH	14	62	10	280 
10.1016/j.cej.2020.124926	Fe0.5Co0.5MoO4-xSx	0	1	1	1	0	24.2	1.0 M KOH	14	87	50	340 
10.1016/j.cej.2020.124926	Fe0.5Co0.5MoO4-xSx	0	1	1	1	0	24.2	1.0 M KOH	14	87	20	295 
10.1016/j.cej.2020.124926	Fe0.5Co0.5MoO4-xSx	0	1	1	1	0	24.2	1.0 M KOH	14	87	10	263 
10.1016/j.apsusc.2022.156237	Ni@CoFe2O4-250	0	1	1	1	1	20.4	1.0 M KOH	14	72.64	100	415 
10.1016/j.apsusc.2022.156237	Ni@CoFe2O4-250	0	1	1	1	1	20.4	1.0 M KOH	14	72.64	50	387 
10.1016/j.apsusc.2022.156237	Ni@CoFe2O4-250	0	1	1	1	1	20.4	1.0 M KOH	14	72.64	20	357 
10.1016/j.apsusc.2022.156237	Ni@CoFe2O4-250	0	1	1	1	1	20.4	1.0 M KOH	14	72.64	10	330 
10.1016/j.apsusc.2022.155551	La2O3-Co/AB	0	1	1	0	0	111.184	1.0 M KOH	14	92	100	497 
10.1016/j.apsusc.2022.155551	La2O3-Co/AB	0	1	1	0	0	111.184	1.0 M KOH	14	92	50	409 
10.1016/j.apsusc.2022.155551	La2O3-Co/AB	0	1	1	0	0	111.184	1.0 M KOH	14	92	20	338 
10.1016/j.apsusc.2022.155551	La2O3-Co/AB	0	1	1	0	0	111.184	1.0 M KOH	14	92	10	299 
10.1016/j.apsusc.2021.150653	C-NCFO	0	1	0	1	1	57.94	1.0 M KOH	14	45	100	332 
10.1016/j.apsusc.2021.150653	C-NCFO	0	1	0	1	1	57.94	1.0 M KOH	14	45	50	304 
10.1016/j.apsusc.2021.150653	C-NCFO	0	1	0	1	1	57.94	1.0 M KOH	14	45	10	264 
10.1016/j.apsusc.2020.147165	LSCF	0	1	1	1	0	27.965	0.1M KOH	13	76.71	20	413 
10.1016/j.apsusc.2020.147165	LSCF	0	1	1	1	0	27.965	0.1M KOH	13	76.71	10	385 
10.1016/j.apcatb.2022.122023	N/P-Cu0.1Co0.3Mn0.6O2/CNTs	0	1	1	0	0	166.2	1.0 M KOH	14	60	50	350 
10.1016/j.apcatb.2022.122023	N/P-Cu0.1Co0.3Mn0.6O2/CNTs	0	1	1	0	0	166.2	1.0 M KOH	14	60	20	319 
10.1016/j.apcatb.2022.122023	N/P-Cu0.1Co0.3Mn0.6O2/CNTs	0	1	1	0	0	166.2	1.0 M KOH	14	60	10	290 
10.1016/j.apcatb.2021.120899	Fe-Co3O4@C/FTO	0	1	1	1	0	35	0.5 M H2SO4	0.3	68.6	50	434 
10.1016/j.apcatb.2021.120899	Fe-Co3O4@C/FTO	0	1	1	1	0	35	0.5 M H2SO4	0.3	68.6	20	357 
10.1016/j.apcatb.2021.120899	Fe-Co3O4@C/FTO	0	1	1	1	0	35	0.5 M H2SO4	0.3	68.6	10	323 
10.1016/j.apcatb.2021.119953	CoNiFeOx-NC	0	1	1	1	1	104	1.0 M KOH	14	64.05	100	287 
10.1016/j.apcatb.2021.119953	CoNiFeOx-NC	0	1	1	1	1	104	1.0 M KOH	14	64.05	50	265 
10.1007/s12274-022-4179-8	FeCoNiPB	0	1	1	1	1	45.6	1.0 M KOH	14	53	100	306 
10.1007/s12274-022-4179-8	FeCoNiPB	0	1	1	1	1	45.6	1.0 M KOH	14	53	50	275 
10.1007/s12274-022-4179-8	FeCoNiPB	0	1	1	1	1	45.6	1.0 M KOH	14	53	20	251 
10.1007/s12274-022-4179-8	FeCoNiPB	0	1	1	1	1	45.6	1.0 M KOH	14	53	10	235 
10.1007/s11581-023-05022-x	ZnFe2O4 	0	1	0	1	0	74.4	1.0 M KOH	14	50	100	400 
10.1007/s11581-023-05022-x	ZnFe2O4 	0	1	0	1	0	74.4	1.0 M KOH	14	50	50	361 
10.1007/s11581-023-05022-x	ZnFe2O4 	0	1	0	1	0	74.4	1.0 M KOH	14	50	20	330 
10.1007/s11581-023-05022-x	ZnFe2O4 	0	1	0	1	0	74.4	1.0 M KOH	14	50	10	318 
10.1007/s10008-016-3200-0	leached-Ir0.7Ni0.3Ox	1	1	0	0	1	73.4	0.5 M H2SO4	0.3	60	20	363 
10.1007/s10008-016-3200-0	leached-Ir0.7Ni0.3Ox	1	1	0	0	1	73.4	0.5 M H2SO4	0.3	60	10	337 
10.1002/er.6471	FeV-a/meso-Co	0	1	1	1	0	124	1.0 M KOH	14	78.2	100	455 
10.1002/er.6471	FeV-a/meso-Co	0	1	1	1	0	124	1.0 M KOH	14	78.2	50	370 
10.1002/er.6471	FeV-a/meso-Co	0	1	1	1	0	124	1.0 M KOH	14	78.2	20	318 
10.1002/er.6471	FeV-a/meso-Co	0	1	1	1	0	124	1.0 M KOH	14	78.2	10	280 
10.1002/cphc.202200845	LCO-5	0	1	1	0	0	5	0.5 M KOH	13.7	151.98	20	566 
10.1002/cphc.202200845	LCO-5	0	1	1	0	0	5	0.5 M KOH	13.7	151.98	10	510 
10.1002/cctc.202200630	LaCo0.5Fe0.5O2.603/CNTs	0	1	1	1	0	123.2	1.0 M KOH	14	92	20	421 
10.1002/cctc.202200630	LaCo0.5Fe0.5O2.603/CNTs	0	1	1	1	0	123.2	1.0 M KOH	14	92	10	377 
10.1002/cctc.201801312	IrO2@MTO-S	1	1	0	0	0	102	0.5 M H2SO4	0.3	65	50	310 
10.1002/cctc.201801312	IrO2@MTO-S	1	1	0	0	0	102	0.5 M H2SO4	0.3	65	20	270 
10.1002/cctc.201801312	IrO2@MTO-S	1	1	0	0	0	102	0.5 M H2SO4	0.3	65	10	240 
10.1002/anie.202114951	Co-SAC/RuO2	1	1	1	0	0	50.5	1.0 M KOH	14	110	50	288 
10.1002/anie.202114951	Co-SAC/RuO2	1	1	1	0	0	50.5	1.0 M KOH	14	110	20	217 
10.1002/anie.202114951	Co-SAC/RuO2	1	1	1	0	0	50.5	1.0 M KOH	14	110	10	200 
10.1002/aenm.201701347	Ni2Fe1-O	0	1	0	1	1	73.64	1.0 M KOH	14	39	20	256 
10.1002/aenm.201701347	Ni2Fe1-O	0	1	0	1	1	73.64	1.0 M KOH	14	39	10	244 
10.1002/adma.201704609	Ni-MnO/rGO	0	1	0	0	1	109	0.1M KOH	13	67	50	571 
10.1002/adma.201704609	Ni-MnO/rGO	0	1	0	0	1	109	0.1M KOH	13	67	20	424 
10.1002/adma.201704609	Ni-MnO/rGO	0	1	0	0	1	109	0.1M KOH	13	67	10	370 
10.1002/adfm.202214529	ZnCo-RuO2/C	1	1	1	0	0	308.7	1.0 M KOH	14	63	100	328 
10.1002/adfm.202214529	ZnCo-RuO2/C	1	1	1	0	0	308.7	1.0 M KOH	14	63	50	259 
10.1002/adfm.202214529	ZnCo-RuO2/C	1	1	1	0	0	308.7	1.0 M KOH	14	63	50	255 
10.1002/adfm.202214529	ZnCo-RuO2/C	1	1	1	0	0	308.7	1.0 M KOH	14	63	20	204 
10.1002/adfm.202214529	ZnCo-RuO2/C	1	1	1	0	0	308.7	1.0 M KOH	14	63	20	204 
10.1002/adfm.202214529	ZnCo-RuO2/C	1	1	1	0	0	308.7	1.0 M KOH	14	63	10	180 
10.1002/adfm.202214529	ZnCo-RuO2/C	1	1	1	0	0	308.7	1.0 M KOH	14	63	10	180 
 10.1002/advs.202104636	IrO2/V2O5	1	1	0	0	0	40	1.0 M KOH	14	34	100	376 
 10.1002/advs.202104636	IrO2/V2O5	1	1	0	0	0	40	1.0 M KOH	14	34	50	328 
 10.1002/advs.202104636	IrO2/V2O5	1	1	0	0	0	40	1.0 M KOH	14	34	20	299 
 10.1002/advs.202104636	IrO2/V2O5	1	1	0	0	0	40	1.0 M KOH	14	34	10	283 
