DOI	Sample_name	Noble_or_not	Multi_or_not	Co_or_not	Fe_or_not	Ni_or_not	SSA (m2/g)	Electrolyte	pH	Tafel slope (mV/dec)	Current_density (mA/cm2)	Overpotential (mV)
10.1039/d1dt01952j	CeO2@CoFe2O4/NF	0	1	1	1	1	51.5	1.0 M KOH	14	64.33	20	175 
10.1039/d0nj02305a	Fe-NiMoO4	0	1	1	0	1	131	1.0 M KOH	14	90	100	342 
10.1039/d0nj02305a	Fe-NiMoO4	0	1	1	0	1	131	1.0 M KOH	14	90	50	321 
10.1039/d0nj02305a	Fe-NiMoO4	0	1	1	0	1	131	1.0 M KOH	14	90	20	279 
10.1039/d0nj02305a	Fe-NiMoO4	0	1	1	0	1	131	1.0 M KOH	14	90	10	217 
10.1039/C9TA01044K	WO3NWA-NSA	0	0	0	0	0	75.02	1.0 M KOH	14	33	50	290 
10.1039/C9TA01044K	WO3NWA-NSA	0	0	0	0	0	75.02	1.0 M KOH	14	33	20	249 
10.1039/C9TA01044K	WO3NWA-NSA	0	0	0	0	0	75.02	1.0 M KOH	14	33	10	230 
10.1039/c8cp06641H	Zn0.8Co2.2O4 	0	1	1	0	0	119	0.1M KOH	13	68	10	254 
10.1039/C8CC00025E	MoO 2-Co2 Mo3O8@C	0	1	1	0	0	39	1.0 M KOH	14	88	100	426 
10.1039/C8CC00025E	MoO 2-Co2 Mo3O8@C	0	1	1	0	0	39	1.0 M KOH	14	88	50	384 
10.1039/C8CC00025E	MoO 2-Co2 Mo3O8@C	0	1	1	0	0	39	1.0 M KOH	14	88	20	347 
10.1039/C8CC00025E	MoO 2-Co2 Mo3O8@C	0	1	1	0	0	39	1.0 M KOH	14	88	10	320 
10.1039/c7ta02108a	Fe3O4/Co3S4	0	1	1	1	0	60.4	1.0 M KOH	14	56	100	333 
10.1039/c7ta02108a	Fe3O4/Co3S4	0	1	1	1	0	60.4	1.0 M KOH	14	56	50	309 
10.1039/c7ta02108a	Fe3O4/Co3S4	0	1	1	1	0	60.4	1.0 M KOH	14	56	20	287 
10.1039/c7ta02108a	Fe3O4/Co3S4	0	1	1	1	0	60.4	1.0 M KOH	14	56	10	270 
10.1039/c6ta05907d	FeNi-O	0	1	0	1	1	113.4	1.0 M KOH	14	32	50	246 
10.1039/c6ta05907d	FeNi-O	0	1	0	1	1	113.4	1.0 M KOH	14	32	20	226 
10.1039/c6ta05907d	FeNi-O	0	1	0	1	1	113.4	1.0 M KOH	14	32	10	213 
10.1039/c6cc04951f	NiFe/NiFeOx(y) core/shell 	0	1	0	1	1	50	0.1M KOH	13	34	20	353 
10.1039/c6cc04951f	NiFe/NiFeOx(y) core/shell 	0	1	0	1	1	50	0.1M KOH	13	34	10	340 
10.1039/c5ta04058b	V-Co-Fe-343	0	1	1	1	0	232.1	1.0 M KOH	14	36	100	348 
10.1039/c5ta04058b	V-Co-Fe-343	0	1	1	1	0	232.1	1.0 M KOH	14	36	50	335 
10.1039/c5ta04058b	V-Co-Fe-343	0	1	1	1	0	232.1	1.0 M KOH	14	36	20	317 
10.1039/c5ta04058b	V-Co-Fe-343	0	1	1	1	0	232.1	1.0 M KOH	14	36	10	307 
10.1039/C4TA03776F	Co3V2O8	0	1	1	0	0	122.8	1.0 M KOH	14	65	10	359 
10.1021/acssuschemeng.1c05718	CFO-B-MS	0	1	1	1	0	162.2	1.0 M KOH	14	63	100	338 
10.1021/acssuschemeng.1c05718	CFO-B-MS	0	1	1	1	0	162.2	1.0 M KOH	14	63	50	283 
10.1021/acssuschemeng.1c05718	CFO-B-MS	0	1	1	1	0	162.2	1.0 M KOH	14	63	20	239 
10.1021/acssuschemeng.1c05718	CFO-B-MS	0	1	1	1	0	162.2	1.0 M KOH	14	63	10	208 
10.1021/acssuschemeng.1c02472	 Co/Co2Mo3O8@NC 	0	1	1	0	0	249	1.0 M KOH	14	86.4	100	512 
10.1021/acssuschemeng.1c02472	 Co/Co2Mo3O8@NC 	0	1	1	0	0	249	1.0 M KOH	14	86.4	50	409 
10.1021/acssuschemeng.1c02472	 Co/Co2Mo3O8@NC 	0	1	1	0	0	249	1.0 M KOH	14	86.4	20	327 
10.1021/acssuschemeng.1c02472	 Co/Co2Mo3O8@NC 	0	1	1	0	0	249	1.0 M KOH	14	86.4	10	288 
10.1021/acsnano.2c10247	NiFeXO4	0	1	1	1	1	137	1.0 M KOH	14	53.3	100	249 
10.1021/acsnano.2c10247	NiFeXO4	0	1	1	1	1	137	1.0 M KOH	14	53.3	50	232 
10.1021/acsnano.2c10247	NiFeXO4	0	1	1	1	1	137	1.0 M KOH	14	53.3	20	211 
10.1021/acsnano.2c10247	NiFeXO4	0	1	1	1	1	137	1.0 M KOH	14	53.3	10	195 
10.1021/acsenergylett.8b00809	2D Co3O4/CBDC	0	0	1	0	0	181.9	1.0 M KOH	14	50.1	100	333 
10.1021/acsenergylett.8b00809	2D Co3O4/CBDC	0	0	1	0	0	181.9	1.0 M KOH	14	50.1	50	286 
10.1021/acsenergylett.8b00809	2D Co3O4/CBDC	0	0	1	0	0	181.9	1.0 M KOH	14	50.1	20	235 
10.1021/acsenergylett.8b00809	2D Co3O4/CBDC	0	0	1	0	0	181.9	1.0 M KOH	14	50.1	10	208 
10.1021/acscatal.2c01825	NiCoAlO-P	0	1	1	0	1	119.76	0.1M KOH	13	86	100	484 
10.1021/acscatal.2c01825	NiCoAlO-P	0	1	1	0	1	119.76	0.1M KOH	13	86	50	413 
